country,population
ABW,35
AFG,173
AGO,45
AIA,22
ALB,114
AND,47
ANT,15
ARE,100
ARG,1000
ARM,68
ATG,17
AUS,5360
AUT,1853
AZE,60
BDI,7
BEL,1489
BEN,11
BFA,7
BGD,78
BGR,157
BHR,71
BHS,31
BIH,44
BLR,130
BLZ,10
BMU,10
BOL,50
BRA,1676
BRB,34
BRN,15
BTN,10
BWA,13
CAF,3
CAN,5108
CHE,1421
CHL,758
CHN,582
CIV,19
CMR,22
COD,12
COG,8
COK,5
COL,579
COM,3
CPV,6
CRI,203
CUB,23
CYM,7
CYP,66
CZE,549
DEU,7523
DJI,3
DMA,1
DNK,638
DOM,89
DZA,142
ECU,120
EGY,116
ERI,3
ESP,2912
EST,175
ETH,19
EU,60
FIN,542
FJI,13
FRA,10647
FRO,5
FSM,5
For,2
GAB,9
GBR,4174
GEO,37
GGY,9
GHA,18
GIB,2
GIN,4
GMB,3
GNB,1
GRC,516
GRD,3
GRL,2
GTM,67
GUF,9
GUM,1
GUY,6
HKG,259
HND,34
HRV,209
HTI,14
HUN,787
Hon,14
IDN,137
IMN,7
IND,908
IRL,527
IRN,256
IRQ,19
ISL,127
ISR,660
ITA,3717
JAM,11
JEY,9
JOR,37
JPN,795
KAZ,78
KEN,28
KGZ,14
KHM,12
KIR,3
KNA,1
KOR,644
KWT,20
LAO,4
LBN,67
LBY,6
LCA,2
LIE,6
LKA,43
LSO,1
LTU,144
LUX,214
LVA,87
MAC,16
MAR,144
MCO,21
MDA,55
MDG,11
MDV,3
MEX,5171
MHL,2
MKD,47
MLI,6
MLT,44
MMR,11
MNE,7
MNG,12
MOZ,5
MRT,3
MSR,3
MUS,22
MWI,6
MYS,193
MYT,1
NAM,9
NER,4
NGA,39
NIC,18
NIU,2
NLD,963
NOR,1556
NPL,20
NRU,1
NZL,669
OMN,11
PAK,124
PAN,52
PER,203
PHL,190
PLW,1
PNG,7
POL,1107
PRI,74
PRK,6
PRT,1115
PRY,26
PSE,13
QAT,8
ROU,333
RUS,1883
RWA,5
SAU,79
SDN,6
SEN,12
SGP,401
SHN,2
SLE,4
SLV,56
SM2,4
SMR,4
SOM,5
SRB,133
SUR,4
SVK,227
SVN,175
SWE,992
SWZ,4
SYC,1
SYR,45
TCD,4
TGO,8
THA,206
TJK,4
TKM,4
TON,2
TTO,31
TUN,76
TUR,1596
TUV,2
TWN,213
TZA,14
UGA,20
UKR,411
URY,78
USA,16764
UZB,13
VCT,3
VEN,347
VGB,7
VIR,16
VNM,89
VUT,1
WLF,4
YEM,2
ZAF,272
ZMB,5
ZWE,12
Total,96483
